signal_date,forward_straddle_return_1d,forward_straddle_return_2d,forward_straddle_return_3d,forward_straddle_return_5d,forward_straddle_net_pnl_1d,forward_straddle_net_pnl_2d,forward_straddle_net_pnl_3d,forward_straddle_net_pnl_5d,future_abs_return_1d,future_abs_return_3d,future_abs_return_5d,future_rv_5d,is_top_10pct_straddle_return_1d,is_top_10pct_straddle_return_3d,is_top_10pct_straddle_return_5d,is_top_5pct_straddle_return_1d,is_top_5pct_straddle_return_3d,is_top_5pct_straddle_return_5d
2024-01-02,-0.0657722028157085,0.0395522388059702,0.379750185243993,1.1254472319254794,-1242.6999999999964,747.3000000000013,7175.000000000003,21264.2,0.0052447334466612094,0.030563272272592812,0.051487412936922605,0.1641538574563972,False,True,True,False,False,True
2024-01-03,0.0311461560123909,0.2254200694640008,1.214224475108733,1.038630745642855,497.7000000000004,3602.1000000000013,19402.7,16596.8,0.007044470895715249,0.048156977829902026,0.053566604970691545,0.16037456715467133,False,True,True,False,True,True
2024-01-04,0.1667173116453661,1.1081538415705905,0.8591592933535919,0.4228259898114222,2798.100000000002,18598.7,14419.700000000006,7096.500000000004,0.01853814847980262,0.03972183716263611,0.029725080280348704,0.26319409199522426,True,True,True,False,True,False
2024-01-05,0.6654600355450943,0.3934033536023587,0.4726546479074163,0.0834953072154165,11195.500000000002,6618.500000000003,7951.8,1404.7000000000023,0.02329792945291287,0.02884883848542419,0.017850582747753196,0.2393719430114304,True,True,False,True,True,False
2024-01-08,-0.1889096790101967,-0.1812124992143267,-0.1687045820460379,-0.452538087018745,-3907.1999999999975,-3747.999999999999,-3489.299999999997,-9359.8,0.0017550048258574424,0.012183546915442323,0.0028504171811889467,0.16352086791064738,False,False,False,False,False,False
2024-01-09,-0.0222617482535508,-0.2233495733766402,-0.275673446240301,-0.340308818601294,-431.7999999999984,-4332.200000000001,-5347.099999999998,-6600.799999999998,0.007425291990614258,0.003815584723579235,0.002490301493516367,0.16546721062444883,False,False,False,False,False,False
2024-01-10,-0.0616371220343279,-0.1243997538720319,-0.1754713072301635,0.0817324193204272,-1993.399999999997,-4023.199999999997,-5674.899999999997,2643.3000000000047,0.017968988992626,0.00858251292445833,0.02230505621791412,0.2554409340855694,False,False,False,False,False,False
2024-01-11,-0.0586952132219804,-0.0863612741349805,-0.0494731929176471,0.38791405580216,-1773.199999999997,-2609.000000000003,-1494.599999999997,11718.999999999996,0.006526742127487051,0.01276765870540264,0.042360743673240386,0.16914246081557163,False,False,True,False,False,False
2024-01-12,-0.0600965058349592,-0.0221479869645608,0.4054505024501043,0.4732157147186724,-1764.7999999999968,-650.3999999999905,11906.500000000004,13896.500000000004,0.00271174456308354,0.03325343009693815,0.047987578277527754,0.1696871099248019,False,True,True,False,False,False
2024-01-15,0.0367502112081105,0.4901039071695224,0.5138133714591049,1.919856450692835,1017.900000000003,13574.8,14231.499999999996,53175.8,0.003579880187992268,0.033448376220640674,0.10046854179317977,0.3741349157300436,False,True,True,False,True,True
